p,    n,    N,    seq_result,    seq_time,    par_result,    par_time
1, 8, 1000, 3.14159248692, 0.00001656700, 3.14159248692, 0.00073754000
1, 8, 1000, 3.14159248692, 0.00001688600, 3.14159248692, 0.00050744400
1, 8, 1000, 3.14159248692, 0.00001664400, 3.14159248692, 0.00075939400
1, 8, 1000, 3.14159248692, 0.00001825600, 3.14159248692, 0.00050433000
1, 8, 1000, 3.14159248692, 0.00002878100, 3.14159248692, 0.00081026300
1, 8, 1000, 3.14159248692, 0.00001638700, 3.14159248692, 0.00077391300
1, 8, 1000, 3.14159248692, 0.00001658500, 3.14159248692, 0.00069721700
1, 8, 1000, 3.14159248692, 0.00001686500, 3.14159248692, 0.00079477700
1, 8, 1000, 3.14159248692, 0.00001659700, 3.14159248692, 0.00075060400
1, 8, 1000, 3.14159248692, 0.00001629000, 3.14159248692, 0.00073196000
1, 8, 1000, 3.14159248692, 0.00001893300, 3.14159248692, 0.00271634300
1, 8, 1000, 3.14159248692, 0.00001638700, 3.14159248692, 0.00070135200
1, 8, 1000, 3.14159248692, 0.00001633600, 3.14159248692, 0.00074716500
1, 8, 1000, 3.14159248692, 0.00001654300, 3.14159248692, 0.00074804000
1, 8, 1000, 3.14159248692, 0.00001665300, 3.14159248692, 0.00075753200
1, 8, 1000, 3.14159248692, 0.00196969400, 3.14159248692, 0.00101625800
1, 8, 1000, 3.14159248692, 0.00001669300, 3.14159248692, 0.00070734600
1, 8, 1000, 3.14159248692, 0.00001607400, 3.14159248692, 0.00058975300
1, 8, 1000, 3.14159248692, 0.00001638800, 3.14159248692, 0.00053798600
1, 8, 1000, 3.14159248692, 0.00001649500, 3.14159248692, 0.00050404600
2, 4, 1000, 3.14159248692, 0.00004254800, 3.14159248692, 0.01077052900
2, 4, 1000, 3.14159248692, 0.00003387200, 3.14159248692, 0.01071859300
2, 4, 1000, 3.14159248692, 0.00003809300, 3.14159248692, 0.01113044700
2, 4, 1000, 3.14159248692, 0.00003310500, 3.14159248692, 0.01134820200
2, 4, 1000, 3.14159248692, 0.00003619000, 3.14159248692, 0.01172558300
2, 4, 1000, 3.14159248692, 0.00003251400, 3.14159248692, 0.01083475600
2, 4, 1000, 3.14159248692, 0.00002895700, 3.14159248692, 0.01098864600
2, 4, 1000, 3.14159248692, 0.00002823100, 3.14159248692, 0.01088120200
2, 4, 1000, 3.14159248692, 0.00001866000, 3.14159248692, 0.01101966500
2, 4, 1000, 3.14159248692, 0.00003437900, 3.14159248692, 0.01090397200
2, 4, 1000, 3.14159248692, 0.00003174000, 3.14159248692, 0.01117465500
2, 4, 1000, 3.14159248692, 0.00004872900, 3.14159248692, 0.01092412800
2, 4, 1000, 3.14159248692, 0.00003420500, 3.14159248692, 0.01106560000
2, 4, 1000, 3.14159248692, 0.00002628700, 3.14159248692, 0.01160174400
2, 4, 1000, 3.14159248692, 0.00003242400, 3.14159248692, 0.01110275900
2, 4, 1000, 3.14159248692, 0.00004938300, 3.14159248692, 0.01092471000
2, 4, 1000, 3.14159248692, 0.00003624400, 3.14159248692, 0.01114313500
2, 4, 1000, 3.14159248692, 0.00002896300, 3.14159248692, 0.01100846700
2, 4, 1000, 3.14159248692, 0.00003519700, 3.14159248692, 0.01085267500
2, 4, 1000, 3.14159248692, 0.00004857700, 3.14159248692, 0.01091722800
4, 2, 1000, 3.14159248692, 0.00005287300, 3.14159248692, 0.03058654400
4, 2, 1000, 3.14159248692, 0.00003045200, 3.14159248692, 0.03064416600
4, 2, 1000, 3.14159248692, 0.00004590000, 3.14159248692, 0.03089903500
4, 2, 1000, 3.14159248692, 0.00003526200, 3.14159248692, 0.03038088800
4, 2, 1000, 3.14159248692, 0.00005805100, 3.14159248692, 0.03079678000
4, 2, 1000, 3.14159248692, 0.00005330800, 3.14159248692, 0.02050543000
4, 2, 1000, 3.14159248692, 0.00002613400, 3.14159248692, 0.03070541400
4, 2, 1000, 3.14159248692, 0.00005129800, 3.14159248692, 0.03083614000
4, 2, 1000, 3.14159248692, 0.00002794700, 3.14159248692, 0.03067640900
4, 2, 1000, 3.14159248692, 0.00006350600, 3.14159248692, 0.03042256700
4, 2, 1000, 3.14159248692, 0.00004075600, 3.14159248692, 0.03071745800
4, 2, 1000, 3.14159248692, 0.00004631800, 3.14159248692, 0.03071972700
4, 2, 1000, 3.14159248692, 0.00002049600, 3.14159248692, 0.03052123000
4, 2, 1000, 3.14159248692, 0.00003809600, 3.14159248692, 0.03065884100
4, 2, 1000, 3.14159248692, 0.00006725900, 3.14159248692, 0.03101546300
4, 2, 1000, 3.14159248692, 0.00003656900, 3.14159248692, 0.03072696100
4, 2, 1000, 3.14159248692, 0.00005530600, 3.14159248692, 0.03143527800
4, 2, 1000, 3.14159248692, 0.00003088100, 3.14159248692, 0.03050621700
4, 2, 1000, 3.14159248692, 0.00004063900, 3.14159248692, 0.03053927000
4, 2, 1000, 3.14159248692, 0.00003120100, 3.14159248692, 0.03139856400
8, 1, 1000, 3.14159248692, 0.00006639300, 3.14159248692, 0.07069167200
8, 1, 1000, 3.14159248692, 0.00005817400, 3.14159248692, 0.07077815200
8, 1, 1000, 3.14159248692, 0.00006379100, 3.14159248692, 0.06033954000
8, 1, 1000, 3.14159248692, 0.00006411900, 3.14159248692, 0.05925018500
8, 1, 1000, 3.14159248692, 0.00006326800, 3.14159248692, 0.05047979200
8, 1, 1000, 3.14159248692, 0.00015096000, 3.14159248692, 0.07011110100
8, 1, 1000, 3.14159248692, 0.00005318500, 3.14159248692, 0.06043643700
